Code,Title,Description
6115,Technical and Trade Schools,"This industry comprises establishments primarily engaged in offering vocational and technical training in a variety of technical subjects and trades.  The training often leads to job-specific certification.  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.

Illustrative Examples:

Apprenticeship training programs
Graphic arts schools
Aviation and flight training schools
Modeling schools
Computer repair training
Nursing schools (except academic)
Cosmetology schools
Real estate schools
Electronic equipment repair training
Truck driving schools 


Cross-References. Establishments primarily engaged in--"
6116,Other Schools and Instruction,"This industry group comprises establishments primarily engaged in offering or providing instruction (except academic schools, colleges, and universities; business, computer, and management instruction; and technical and trade instruction).  Instruction may be provided in diverse settings, such as the establishment's or client's training facilities, educational institutions, the workplace, or the home, and through diverse means, such as correspondence, television, the Internet, or other electronic and distance-learning methods.  The training provided by these establishments may include the use of simulators and simulation methods.
"
6117,Educational Support Services,See industry description for 611710.
6211,Offices of Physicians,"This industry comprises establishments of health practitioners having the degree of M.D. (Doctor of Medicine) or D.O. (Doctor of Osteopathic Medicine) primarily engaged in the independent practice of general or specialized medicine (e.g., anesthesiology, oncology, ophthalmology, psychiatry) or surgery.  These practitioners operate private or group practices in their own offices (e.g., centers, clinics) or in the facilities of others, such as hospitals or HMO medical centers.

Cross-References."
6212,Offices of Dentists,See industry description for 621210.
6213,Offices of Other Health Practitioners,This industry group comprises establishments of independent health practitioners (except physicians and dentists).
6214,Outpatient Care Centers,"This industry group comprises establishments with medical staff primarily engaged in providing a range of outpatient services, such as family planning, diagnosis and treatment of mental health disorders and alcohol and other substance abuse, and other general or specialized outpatient care.  
"
6215,Medical and Diagnostic Laboratories,"This industry comprises establishments known as medical and diagnostic laboratories primarily engaged in providing analytic or diagnostic services, including body fluid analysis and diagnostic imaging, generally to the medical profession or to the patient on referral from a health practitioner.

Illustrative Examples:

Dental or medical X-ray laboratories
Medical pathology laboratories
Diagnostic imaging centers
Medical testing laboratories
Medical forensic laboratories


Cross-References."
6216,Home Health Care Services,See industry description for 621610.
6219,Other Ambulatory Health Care Services,"This industry group comprises establishments primarily engaged in providing ambulatory health care services (except offices of physicians, dentists, and other health practitioners; outpatient care centers; medical laboratories and diagnostic imaging centers; and home health care providers).
"
6221,General Medical and Surgical Hospitals,See industry description for 622110.
6222,Psychiatric and Substance Abuse Hospitals,See industry description for 622210.
6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,See industry description for 622310.
6231,Nursing Care Facilities (Skilled Nursing Facilities),See industry description for 623110.
6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities","This industry group comprises establishments primarily engaged in providing residential care (but not licensed hospital care) to people with intellectual and developmental disabilities, mental illness, or substance abuse problems.
"
6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,"This industry comprises establishments primarily engaged in providing residential and personal care services for (1) the elderly and other persons who are unable to fully care for themselves and/or (2) the elderly and other persons who do not desire to live independently.  The care typically includes room, board, supervision, and assistance in daily living, such as housekeeping services.  In some instances, these establishments provide skilled nursing care for residents in separate on-site facilities.

Illustrative Examples:

Assisted living facilities with on-site nursing care facilities
Assisted living facilities for the elderly without nursing care
Continuing care retirement communities
Rest homes without nursing care


Cross-References."
6239,Other Residential Care Facilities,See industry description for 623990.
6241,Individual and Family Services,"This industry group comprises establishments primarily engaged in providing nonresidential social assistance to children and youth, the elderly, persons with disabilities, and all other individuals and families.
"
6242,"Community Food and Housing, and Emergency and Other Relief Services","This industry group comprises establishments primarily engaged in one of the following: (1) collecting, preparing, and delivering food for the needy; (2) providing short-term emergency shelter, temporary residential shelter, transitional housing, volunteer construction or repair of low-cost housing, and/or repair of homes for individuals or families in need; or (3) providing food, shelter, clothing, medical relief, resettlement, and counseling to victims of domestic or international disasters or conflicts (e.g., wars).
"
6243,Vocational Rehabilitation Services,See industry description for 624310.
6244,Child Care Services,See industry description for 624410.
7111,Performing Arts Companies,"This industry group comprises establishments primarily engaged in producing live presentations involving the performances of actors and actresses, singers, dancers, musical groups and artists, and other performing artists.
"
7112,Spectator Sports,"This industry comprises (1) sports teams or clubs primarily participating in live sporting events before a paying audience; (2) establishments primarily engaged in operating racetracks without casinos; (3) independent athletes engaged in participating in live sporting or racing events before a paying audience; (4) owners of racing participants, such as cars, dogs, and horses, primarily engaged in entering them in racing events or other spectator sports events; and (5) establishments, such as sports trainers, primarily engaged in providing specialized services to support participants in sports events or competitions.  The sports teams and clubs included in this industry may or may not operate their own arena, stadium, or other facility for presenting their games or other spectator sports events.

Cross-References."
7113,"Promoters of Performing Arts, Sports, and Similar Events","This industry group comprises establishments primarily engaged in organizing, promoting, and/or managing live performing arts productions, sports events, and similar events, held in facilities that they manage and operate or in facilities that are managed and operated by others.
"
7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",See industry description for 711410.
7115,"Independent Artists, Writers, and Performers",See industry description for 711510.
7121,"Museums, Historical Sites, and Similar Institutions",See industry description for 712110.
7131,Amusement Parks and Arcades,"This industry group comprises establishments primarily engaged in operating amusement parks and amusement arcades and parlors.
"
7132,Gambling Industries,"This industry group comprises establishments (except casino hotels) primarily engaged in operating gambling facilities, such as casinos, bingo halls, and video gaming terminals, or in the provision of gambling services, such as lotteries and off-track betting.  Casino hotels are classified in Industry 72112, Casino Hotels.
"
7139,Other Amusement and Recreation Industries,"This industry group comprises establishments primarily engaged in operating golf courses and country clubs; skiing facilities; marinas; fitness and recreational sports centers; bowling centers; and providing other amusement and recreation services.
"
7211,Traveler Accommodation,"This industry group comprises establishments primarily engaged in providing short-term lodging in facilities, such as hotels, motels, casino hotels, and bed-and-breakfast inns.  In addition to lodging, these establishments may provide a range of other services to their guests.
"
7212,RV (Recreational Vehicle) Parks and Recreational Camps,"This industry comprises establishments primarily engaged in operating recreational vehicle parks and campgrounds and recreational and vacation camps.  These establishments cater to outdoor enthusiasts and are characterized by the type of accommodation and by the nature and the range of recreational facilities and activities provided to their clients.

Illustrative Examples:

Campgrounds
Fishing and hunting camps
Travel trailer campsites
Outdoor adventure retreats
Vacation camps (except instructional, day)
Recreational vehicle parks


Cross-References. Establishments primarily engaged in--"
7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",See industry description for 721310.
7223,Special Food Services,"This industry group comprises establishments primarily engaged in providing food services at one or more of the following locations: (1) the customer's location; (2) a location designated by the customer; or (3) from motorized vehicles or nonmotorized carts.
"
7224,Drinking Places (Alcoholic Beverages),See industry description for 722410.
7225,Restaurants and Other Eating Places,"This industry comprises establishments primarily engaged in one of the following: (1) providing food services to patrons who order and are served while seated (i.e., waiter/waitress service) and pay after eating; (2) providing food services to patrons who generally order or select items (e.g., at a counter, in a buffet line) and pay before eating; or (3) preparing and/or serving a specialty snack (e.g., ice cream, frozen yogurt, cookies) and/or nonalcoholic beverages (e.g., coffee, juices, sodas) for consumption on or near the premises.

Cross-References. Establishments primarily engaged in--"
8111,Automotive Repair and Maintenance,"This industry group comprises establishments involved in providing repair and maintenance services for automotive vehicles, such as passenger cars, trucks, and vans, and all trailers.  Establishments in this industry group employ mechanics with specialized technical skills to diagnose and repair the mechanical and electrical systems for automotive vehicles, repair automotive interiors, and paint or repair automotive exteriors.
"
8112,Electronic and Precision Equipment Repair and Maintenance,See industry description for 811210.
8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,See industry description for 811310.
8114,Personal and Household Goods Repair and Maintenance,"This industry group comprises establishments primarily engaged in home and garden equipment and appliance repair and maintenance; reupholstery and furniture repair; footwear and leather goods repair; and other personal and household goods repair and maintenance.
"
8121,Personal Care Services,"This industry group comprises establishments, such as barber and beauty shops, that provide appearance care services to individual consumers.
"
8122,Death Care Services,"This industry group comprises establishments primarily engaged in preparing the dead for burial or interment, conducting funerals, operating sites or structures reserved for the interment of human or animals remains, and/or cremating the dead.
"
8123,Drycleaning and Laundry Services,"This industry group comprises establishments primarily engaged in operating coin- or card-operated or similar self-service laundries and drycleaners; providing drycleaning and laundry services (except coin- or card-operated); and supplying, on a rental or contract basis, laundered items (e.g., uniforms, gowns, shop towels, etc.).  Included in this industry group are establishments primarily engaged in supplying and servicing coin- or card-operated laundry and drycleaning equipment in places of business operated by others, such as apartments and dormitories.
"
8129,Other Personal Services,"This industry group comprises establishments primarily engaged in providing personal services (except personal care services, death care services, or drycleaning and laundry services).
"
8131,Religious Organizations,See industry description for 813110.
8132,Grantmaking and Giving Services,"This industry comprises (1) establishments known as grantmaking foundations or charitable trusts and (2) establishments primarily engaged in raising funds for a wide range of social welfare activities, such as health, educational, scientific, and cultural activities.

Cross-References. Establishments primarily engaged in--"
8133,Social Advocacy Organizations,"This industry comprises establishments primarily engaged in promoting a particular cause or working for the realization of a specific social or political goal to benefit a broad or specific constituency.  These organizations may solicit contributions and offer memberships to support these goals.

Illustrative Examples:

Community action advocacy organizations
Firearms advocacy organizations
Conservation advocacy organizations
Human rights advocacy organizations
Environmental advocacy organizations
Wildlife preservation organizations


Cross-References."
8134,Civic and Social Organizations,See industry description for 813410.
8139,"Business, Professional, Labor, Political, and Similar Organizations","This industry group comprises establishments primarily engaged in promoting the interests of their members (except religious organizations, social advocacy organizations, and civic and social organizations).  Examples of establishments in this industry are business associations, professional organizations, labor unions, and political organizations.
"
8141,Private Households,See industry description for 814110.
9211,"Executive, Legislative, and Other General Government Support",See industry description for 921110.
9221,"Justice, Public Order, and Safety Activities",See industry description for 922110.
9231,Administration of Human Resource Programs,See industry description for 923110.
9241,Administration of Environmental Quality Programs,See industry description for 924110.
9251,"Administration of Housing Programs, Urban Planning, and Community Development",See industry description for 925110.
9261,Administration of Economic Programs,See industry description for 926110.
9271,Space Research and Technology,See industry description for 927110.
9281,National Security and International Affairs,See industry description for 928110.
